
[1469] [05/02/2026, 19:02:15] Meu Amor 💙💙: Sabe se o Jp conhece de financiamento?
          [05/02/2026, 19:02:19] Meu Amor 💙💙: Da caixa
          [05/02/2026, 19:29:29] Meu Amor 💙💙: https://x.com/centralreality/status/2019531501566849383?s=48
[2345] [10/02/2026, 09:31:34] Samuel Castro: Que limite? O que eu fiz? Inclusive desde o comeco disse que fiquei incomodado com a situacao por ser um sentimento meu e que justamente nao queria discutir nem brigar por isso que sei seu pensamento sobre a situacao, mas nao posso invalidar o que eu sinto so pra te agradar e parar de ter preguica disso
          [10/02/2026, 09:34:24] Meu Amor 💙💙: Vc tá com ciúme de falar que eu amo um amigo que vc sabe o quanto eu gosto e tá presente na minha vida, que inclusive vai ser nosso padrinho de casamento
          [10/02/2026, 09:34:33] Meu Amor 💙💙: Que nunca te deu motivo de nada dessa brisa errada
[3076] [11/02/2026, 11:52:57] Samuel Castro: Da licitacao que tava rolando
          [11/02/2026, 11:53:17] Samuel Castro: fizeram os indices pelo regime de caixa e não pelo regime de faturamento
          [11/02/2026, 11:53:17] Samuel Castro: Anexa*
[6046] [02/03/2026, 16:46:46] Meu Amor 💙💙: mas vc percebe qual o maior problema de um cara ser inconsequente ne
          [02/03/2026, 16:46:59] Meu Amor 💙💙: pais que tratam como se fosse um eterno garoto
          [02/03/2026, 16:47:31] Meu Amor 💙💙: pq tipo
[6124] [04/03/2026, 11:07:30] Meu Amor 💙💙: O pequeno é mais prático
          [04/03/2026, 11:08:21] Meu Amor 💙💙: Difícil até de encaixar
          [04/03/2026, 11:08:27] Meu Amor 💙💙: Mas quando encaixa é mt bom
[6125] [04/03/2026, 11:08:21] Meu Amor 💙💙: Difícil até de encaixar
          [04/03/2026, 11:08:27] Meu Amor 💙💙: Mas quando encaixa é mt bom
          [04/03/2026, 11:08:42] Meu Amor 💙💙: Eu tô até com a dor de infecção de urina de novo
[7812] [12/03/2026, 17:04:33] Meu Amor 💙💙: Beleza
          [12/03/2026, 17:04:43] Meu Amor 💙💙: Vou precisar sacar um dinheiro na caixa
          [12/03/2026, 17:05:43] Samuel Castro: Ta bom
[7835] [12/03/2026, 17:18:12] Meu Amor 💙💙: De investimento
          [12/03/2026, 17:18:28] Meu Amor 💙💙: Mas vc pode ser meu investidor
          [12/03/2026, 17:18:29] Meu Amor 💙💙: Tipo
[8023] ‎[13/03/2026, 10:14:01] Meu Amor 💙💙: ‎áudio ocultado
          [13/03/2026, 10:14:35] Samuel Castro: Pendencia na caixa??
          [13/03/2026, 10:14:42] Samuel Castro: De que?? e de quando?
[8072] [13/03/2026, 10:32:01] Samuel Castro: Que ele tava cobrando 210k e foi avaliado em 240k
          [13/03/2026, 10:32:10] Samuel Castro: E conseguia pegar os 30k pela caixa financiado
          ‎[13/03/2026, 10:33:06] Meu Amor 💙💙: ‎áudio ocultado
[8075] [13/03/2026, 10:33:52] Samuel Castro: Beleza
          [13/03/2026, 10:34:07] Meu Amor 💙💙: Aí ela vai me passar o contato da gerente da caixa
          [13/03/2026, 10:34:09] Samuel Castro: Esperando o jp falar aqui sobre esse trem da caixa
[8076] [13/03/2026, 10:34:07] Meu Amor 💙💙: Aí ela vai me passar o contato da gerente da caixa
          [13/03/2026, 10:34:09] Samuel Castro: Esperando o jp falar aqui sobre esse trem da caixa
          [13/03/2026, 10:34:12] Meu Amor 💙💙: Disse pra começar a movimentar
[8090] [13/03/2026, 10:36:00] Samuel Castro: Vida eu n tenho nem nocao de vdd
          [13/03/2026, 10:36:17] Samuel Castro: A unica epoca que tive conta na caixa foi no caixa tem antes nem conta eu tinha
          [13/03/2026, 10:36:20] Samuel Castro: SO conta pj
[8095] [13/03/2026, 10:37:18] Meu Amor 💙💙: A líder ainda tem mt faturamento?
          [13/03/2026, 10:37:28] Samuel Castro: Vou la no RH ver se da pra receber pela caixa
          [13/03/2026, 10:37:52] Samuel Castro: Uai amor meu pai fatura os pedidos dele por la e tb as vezes  ja emitiu algumas notas altas pra amigos dele que os amigos pagam o imposto mais uma parte pra ele ‎<Mensagem editada>
[8906] [17/03/2026, 19:24:24] Samuel Castro: E outra coisa amor, hoje foi mt corrido pra mim no almoco
          [17/03/2026, 19:24:30] Meu Amor 💙💙: Só te faltou um investidor
          [17/03/2026, 19:24:33] Samuel Castro: Mas amanha sem falta deixo sua corrente pr aarrumar
[9288] [18/03/2026, 14:53:51] Meu Amor 💙💙: já tava tarde
          [18/03/2026, 14:59:05] Meu Amor 💙💙: tenho que ir la na caixa ver quanto tenho
          [18/03/2026, 14:59:17] Meu Amor 💙💙: tudo que um acesso ao aplicativo ja resolveria
[9294] [18/03/2026, 14:59:40] Samuel Castro: Como os incas faziam
          [18/03/2026, 14:59:43] Samuel Castro: Tirar extrato na boca do caixa
          [18/03/2026, 14:59:44] Meu Amor 💙💙: exato
[9296] [18/03/2026, 14:59:44] Meu Amor 💙💙: exato
          [18/03/2026, 15:00:01] Meu Amor 💙💙: uma gerente vai abrir minha conta corrente na caixa
          [18/03/2026, 15:00:16] Meu Amor 💙💙: pediu minha movimentação bancária dos ultimos 3 meses
[9835] [19/03/2026, 18:09:58] Samuel Castro: Poise
          [19/03/2026, 18:10:11] Samuel Castro: Essa caixa sempre te dá uma salvada
          [19/03/2026, 18:10:12] Meu Amor 💙💙: Pq foi muito bom não ficar agoniada com isso
[9839] [19/03/2026, 18:10:33] Meu Amor 💙💙: Vc n vai na missa?
          [19/03/2026, 18:10:36] Meu Amor 💙💙: Tô de vestido
          [19/03/2026, 18:10:41] Samuel Castro: Imagino não tem preço ter o Dimas no fim do mês pra pagar
[9841] [19/03/2026, 18:10:41] Samuel Castro: Imagino não tem preço ter o Dimas no fim do mês pra pagar
          [19/03/2026, 18:10:44] Samuel Castro: Vai de vestido
          [19/03/2026, 18:10:53] Meu Amor 💙💙: Nem
[9851] [19/03/2026, 18:11:46] Samuel Castro: Sai de lá exorcisada
          [19/03/2026, 18:11:58] Samuel Castro: Qual vestido vc tá
          [19/03/2026, 18:11:59] Samuel Castro: Manda foto
[9973] [19/03/2026, 21:50:19] Meu Amor 💙💙: E já pensar no convite
          [19/03/2026, 21:50:23] Meu Amor 💙💙: Caixa dos padrinhos
          [19/03/2026, 21:50:32] Meu Amor 💙💙: A identidade visual
[10017] [19/03/2026, 22:16:07] Meu Amor 💙💙: Pq aconteceu com o local e com a cerimonialista
          [19/03/2026, 22:16:41] Meu Amor 💙💙: Eu n quero que vc vá atrás de fotógrafo, de buffet, de cerimonial
          [19/03/2026, 22:16:54] Meu Amor 💙💙: Eu quero ficar por conta disso e quero que seja legal
[10253] [20/03/2026, 00:33:18] Samuel Castro: Mais linda do mundo
          [20/03/2026, 00:33:33] Meu Amor 💙💙: Logo é dia de ir ver os vestidos
          [20/03/2026, 00:33:59] Samuel Castro: Vou ficar ansioso dms pq vc não vai querer mostrar
[10427] [20/03/2026, 11:29:29] Meu Amor 💙💙: A gente podia conversar depois
          [20/03/2026, 11:29:33] Meu Amor 💙💙: Sobre a lista de padrinhos
          [20/03/2026, 11:34:25] Samuel Castro: A gente tem que cvs de tanta coisa hoje kkkkkk
[10753] [23/03/2026, 10:59:25] Meu Amor 💙💙: o Matheus ta me falando
          [23/03/2026, 10:59:36] Meu Amor 💙💙: Que quer te chamar pra ser padrinho de crisma dele
          [23/03/2026, 11:27:08] Meu Amor 💙💙: tava pensando aqui
[10755] [23/03/2026, 11:27:08] Meu Amor 💙💙: tava pensando aqui
          [23/03/2026, 11:27:30] Meu Amor 💙💙: a gente tem que organizar as caixas de padrinhos pra entregar até final do mes que vem
          [23/03/2026, 11:27:44] Meu Amor 💙💙: pq serão 4 meses antes
[10757] [23/03/2026, 11:27:44] Meu Amor 💙💙: pq serão 4 meses antes
          [23/03/2026, 11:27:49] Meu Amor 💙💙: pra padrinho acho o ideal
          [23/03/2026, 11:27:54] Meu Amor 💙💙: pq eles tem que se organizar
[10762] [23/03/2026, 11:39:36] Samuel Castro: Na horaaa
